"vp";"nodd";"waveform";"N";"k";"prob"
"V20";"0,4";"sine";"48";"8";"0,1666666666666667"
"V20";"0,4";"tria";"48";"9";"0,1875000000000000"
"V20";"0,8";"sine";"48";"35";"0,7291666666666666"
"V20";"0,8";"tria";"48";"32";"0,6666666666666666"
"V20";"1,2";"sine";"48";"43";"0,8958333333333334"
"V20";"1,2";"tria";"48";"45";"0,9375000000000000"
"V20";"1,6";"sine";"48";"46";"0,9583333333333334"
"V20";"1,6";"tria";"48";"47";"0,9791666666666666"
"V20";"3,0";"sine";"48";"46";"0,9583333333333334"
"V20";"3,0";"tria";"48";"48";"1,0000000000000000"
"V21";"0,0";"sine";"48";"1";"0,0208333333333333"
"V21";"0,0";"tria";"48";"2";"0,0416666666666667"
"V21";"0,4";"sine";"48";"5";"0,1041666666666667"
"V21";"0,4";"tria";"48";"4";"0,0833333333333333"
"V21";"0,8";"sine";"48";"22";"0,4583333333333333"
"V21";"0,8";"tria";"48";"18";"0,3750000000000000"
"V21";"1,2";"sine";"48";"32";"0,6666666666666666"
"V21";"1,2";"tria";"48";"35";"0,7291666666666666"
"V21";"1,6";"sine";"48";"38";"0,7916666666666666"
"V21";"1,6";"tria";"48";"43";"0,8958333333333334"
"V21";"3,0";"sine";"48";"44";"0,9166666666666666"
"V21";"3,0";"tria";"48";"48";"1,0000000000000000"
"V22";"0,0";"sine";"48";"4";"0,0833333333333333"
"V22";"0,0";"tria";"48";"5";"0,1041666666666667"
"V22";"0,4";"sine";"48";"10";"0,2083333333333333"
"V22";"0,4";"tria";"48";"9";"0,1875000000000000"
"V22";"0,8";"sine";"48";"23";"0,4791666666666667"
"V22";"0,8";"tria";"48";"33";"0,6875000000000000"
"V22";"1,2";"sine";"48";"40";"0,8333333333333334"
"V22";"1,2";"tria";"48";"41";"0,8541666666666666"
"V22";"1,6";"sine";"48";"42";"0,8750000000000000"
"V22";"1,6";"tria";"48";"35";"0,7291666666666666"
"V22";"3,0";"sine";"48";"44";"0,9166666666666666"
"V22";"3,0";"tria";"48";"40";"0,8333333333333334"
"V23";"0,0";"sine";"48";"5";"0,1041666666666667"
"V23";"0,0";"tria";"48";"3";"0,0625000000000000"
"V23";"0,4";"sine";"48";"16";"0,3333333333333333"
"V23";"0,4";"tria";"48";"18";"0,3750000000000000"
"V23";"0,8";"sine";"48";"33";"0,6875000000000000"
"V23";"0,8";"tria";"48";"37";"0,7708333333333334"
"V23";"1,2";"sine";"48";"41";"0,8541666666666666"
"V23";"1,2";"tria";"48";"43";"0,8958333333333334"
"V23";"1,6";"sine";"48";"46";"0,9583333333333334"
"V23";"1,6";"tria";"48";"46";"0,9583333333333334"
"V23";"3,0";"sine";"48";"46";"0,9583333333333334"
"V23";"3,0";"tria";"48";"47";"0,9791666666666666"
